time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-06-10 09:30:00-04:00,MyStrategy,700df1db45764305ba73d0914e8b1fd5,SPY,sell,market,fill,1,gtc,0.0,1,stock,394.8800048828125,1360.0,0.0
2022-07-08 09:30:00-04:00,MyStrategy,8c92b44a95a7480cb47037f24715b9f9,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,6990918cbccd4592a3c8706e7cc6c6fc,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,e68cb9f179e5406783299f13c8fa45c1,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,ae4d855178314ecfb291ef73d82962a1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,a74da413b3ce45249cdf1ccee618fb91,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,febd1d55c468413db5c3e65a4d4a8c0e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,8967df07688742c799a1ed27dfce36a8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,1d4fbf55cd2649f2af3e1e6d9423d63f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,9eb8971ebe54403eb7123af99fec77f1,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,508765b7aab3457fa39110af8336087c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,c7083a971c1f42edbbdf16e8983aab1c,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,f85112c8e28641f4ab53255b6edf0bed,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,49151ab406a24c4d8d7ed20cf3479737,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,670350a59fdf49a184db4e9f91127656,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,49151ab406a24c4d8d7ed20cf3479737,SPY,buy,market,fill,1,day,0.0,1,stock,387.2699890136719,3650.0,0.0
2022-07-08 09:30:00-04:00,MyStrategy,670350a59fdf49a184db4e9f91127656,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,2073.0,0.0
2022-09-23 09:30:00-04:00,MyStrategy,e83ac5f02ad14dc88a790f08c89c1701,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-23 09:30:00-04:00,MyStrategy,3b3c0034acac403a8fa0bfeba76beec1,SPY,sell,stop,fill,1,day,0.0,1,stock,367.90648956298827,2073.0,0.0
2022-09-27 09:30:00-04:00,MyStrategy,93f84d797a4b4406a4af3a4ab7cd849d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-27 09:30:00-04:00,MyStrategy,93f84d797a4b4406a4af3a4ab7cd849d,SPY,sell,market,fill,1,gtc,0.0,1,stock,368.0199890136719,211.0,0.0
2022-09-28 09:30:00-04:00,MyStrategy,dcfedb24ea5746308ce6b9779d6e7e9e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-28 09:30:00-04:00,MyStrategy,dcfedb24ea5746308ce6b9779d6e7e9e,SPY,sell,market,fill,1,gtc,0.0,1,stock,364.3800048828125,319.0,0.0
2022-10-25 09:30:00-04:00,MyStrategy,72352c43865247d89ff187751b0fc658,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-25 09:30:00-04:00,MyStrategy,41e9bf8f639b46d0ae01502ee742722d,SPY,buy,stop,fill,1,day,0.0,1,stock,382.59900512695316,319.0,0.0
2022-10-26 09:30:00-04:00,MyStrategy,8cddf9a7636d491493fbdaa93542e72c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-26 09:30:00-04:00,MyStrategy,fa7e72239d4e40a78de83b0d5e2fae63,SPY,buy,stop,fill,1,day,0.0,1,stock,386.4209884643555,211.0,0.0
2023-01-19 09:30:00-05:00,MyStrategy,632822fec8404de1bb64e1755e99972f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MyStrategy,632822fec8404de1bb64e1755e99972f,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,187.0,0.0
2023-02-01 09:30:00-05:00,MyStrategy,70dc7fa5925d46cfb64f2bd215c7ebad,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MyStrategy,e0ce78b734564bd6a5e7dd7999dd7254,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,187.0,0.0
2023-04-10 09:30:00-04:00,MyStrategy,4c25e575a72f463c8646d272c7bd50b4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MyStrategy,4c25e575a72f463c8646d272c7bd50b4,SPY,sell,market,fill,1,gtc,0.0,1,stock,406.6099853515625,174.0,0.0
